term,Doc1,Doc2,Doc3,Doc4,Doc5,Doc6,Doc7,Doc8,Doc9,Doc10
angels,0.0,0.0,0.0,0.0,0.0,0.0,0.5228787452803376,0.5228787452803376,0.5228787452803376,0.0
antony,0.5228787452803376,0.5228787452803376,0.0,0.0,0.0,0.5228787452803376,0.0,0.0,0.0,0.0
brutus,0.5228787452803376,0.5228787452803376,0.0,0.5228787452803376,0.0,0.0,0.0,0.0,0.0,0.0
caeser,0.3010299956639812,0.3010299956639812,0.0,0.3010299956639812,0.3010299956639812,0.3010299956639812,0.0,0.0,0.0,0.0
calpurnia,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cleopatra,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fear,0.0,0.0,0.0,0.0,0.0,0.0,0.5228787452803376,0.5228787452803376,0.0,0.5228787452803376
fools,0.0,0.0,0.0,0.0,0.0,0.0,0.3979400086720376,0.3979400086720376,0.3979400086720376,0.3979400086720376
in,0.0,0.0,0.0,0.0,0.0,0.0,0.3979400086720376,0.3979400086720376,0.3979400086720376,0.3979400086720376
mercy,0.3010299956639812,0.0,0.3010299956639812,0.3010299956639812,0.3010299956639812,0.3010299956639812,0.0,0.0,0.0,0.0
rush,0.0,0.0,0.0,0.0,0.0,0.0,0.3979400086720376,0.3979400086720376,0.3979400086720376,0.3979400086720376
to,0.0,0.0,0.0,0.0,0.0,0.0,0.3979400086720376,0.3979400086720376,0.3979400086720376,0.3979400086720376
tread,0.0,0.0,0.0,0.0,0.0,0.0,0.3979400086720376,0.3979400086720376,0.3979400086720376,0.3979400086720376
where,0.0,0.0,0.0,0.0,0.0,0.0,0.3979400086720376,0.3979400086720376,0.3979400086720376,0.3979400086720376
worser,0.3979400086720376,0.0,0.3979400086720376,0.3979400086720376,0.3979400086720376,0.0,0.0,0.0,0.0,0.0
